Peak id	Log FC	P-value	Adjusted P-value	Log Odds
632	-0.01	0.9516	0.9774	-7.4371
633	-0.21	0.492	0.7202	-7.1566
634	-0.2	0.3363	0.603	-6.886
635	-0.05	0.8573	0.9319	-7.4199
636	-0.28	0.2324	0.511	-6.5861
637	0.03	0.7244	0.8591	-7.3648
638	0.42	0.0999	0.3141	-5.8215
639	0.3	0.0377	0.1736	-4.8625
640	-0.31	0.2956	0.5704	-6.7846
641	-0.62	0.1085	0.3302	-5.9001
642	-0.62	0.1165	0.3476	-5.9672
643	-0.01	0.8844	0.9455	-7.4266
644	-0.08	0.7177	0.8561	-7.361
645	-0.08	0.7073	0.8504	-7.3548
646	-0.18	0.4797	0.713	-7.1401
647	-0.17	0.4384	0.6814	-7.0798
648	-0.22	0.334	0.6017	-6.8806
649	-0.31	0.3135	0.5841	-6.8312
650	-0.09	0.7094	0.8513	-7.3561
651	-0.01	0.9615	0.9825	-7.4379
652	-0.23	0.2481	0.5267	-6.6412
653	-0.71	0.1539	0.4116	-6.2235
654	-0.11	0.783	0.8908	-7.3939
655	-3.37	0	0.0001	6.6589
656	-1.55	0.0454	0.1952	-5.0515
657	-0.3	0.3421	0.607	-6.8991
658	-1.58	0.0032	0.0356	-2.2734
659	-2.58	0.0016	0.0244	-1.0545
660	-1.62	0.0015	0.0237	-1.4978
661	-0.05	0.7411	0.8681	-7.3739
662	-0.91	0.0726	0.2575	-5.5146
663	-0.97	0.0348	0.166	-4.7823
664	0.62	0.0107	0.0737	-3.5619
665	-0.8	0.2149	0.491	-6.5192
666	-0.13	0.578	0.7777	-7.254
667	-0.13	0.6238	0.8061	-7.2952
668	-0.47	0.0176	0.1052	-4.0831
669	-0.01	0.9167	0.9621	-7.4327
670	-0.17	0.7868	0.8927	-7.3954
671	0.25	0.6214	0.8043	-7.2932
672	-0.88	0.0106	0.0735	-3.5503
673	0.03	0.7557	0.8751	-7.3813
674	0.24	0.1906	0.4614	-6.4149
675	0.31	0.3752	0.6314	-6.9685
676	0.49	0.1471	0.4023	-6.1829
677	-0.08	0.4121	0.661	-7.0364
678	-0.88	0.0203	0.116	-4.2323
679	-0.48	0.0505	0.2087	-5.1561
680	-2.25	0.0021	0.0275	-1.8231
681	-2.3	0.0052	0.0463	-2.8041
682	-2.08	0.0016	0.0245	-1.5557
683	-0.4	0.2222	0.5003	-6.5477
684	-0.31	0.2225	0.5007	-6.5489
685	-1.72	0.0007	0.0146	-0.3916
686	0.08	0.377	0.6331	-6.972
687	-0.23	0.2026	0.4773	-6.4682
688	-0.26	0.3864	0.6406	-6.9901
689	-0.12	0.1547	0.4123	-6.2282
690	1.13	0.0212	0.1192	-4.2733
691	0.37	0.3544	0.6153	-6.9259
692	0.07	0.416	0.6638	-7.0432
693	0.03	0.765	0.882	-7.3858
694	0.38	0.4312	0.6762	-7.0683
695	-0.32	0.3412	0.6064	-6.897
696	0.54	0.4161	0.6638	-7.0433
697	0.36	0.5352	0.7488	-7.209
698	0.9	0.0077	0.0592	-3.2118
699	0.06	0.5868	0.781	-7.2624
700	-0.05	0.7112	0.8518	-7.3572
701	5.12	0	0	12.6445
702	0.78	0.0155	0.0972	-3.9508
703	0.89	0.0113	0.0766	-3.6236
704	0.83	0.0345	0.1658	-4.7733
705	2.58	0	0.0002	5.8218
706	-0.21	0.2417	0.5203	-6.6191
707	-0.17	0.4854	0.7173	-7.1478
708	-1.12	0.0379	0.1742	-4.8677
709	-0.49	0.0346	0.1659	-4.7774
710	-0.27	0.5811	0.7785	-7.2569
711	0.05	0.7929	0.8954	-7.398
712	-0.22	0.4225	0.6695	-6.9675
713	-0.16	0.1015	0.3168	-5.8367
714	-0.31	0.0196	0.1136	-4.1921
715	-0.17	0.2653	0.5407	-6.6968
716	0.44	0.2237	0.5016	-6.5538
717	0.13	0.6992	0.8476	-7.3498
718	0.74	0.0933	0.2989	-5.7565
719	0.11	0.7438	0.8694	-7.3753
720	-0.06	0.7835	0.8908	-7.3941
721	-0.48	0.244	0.5218	-6.6271
722	0.2	0.5445	0.7528	-7.2193
723	0.31	0.0125	0.0809	-3.7226
724	0.33	0.0398	0.18	-4.9182
725	0.31	0.0082	0.0611	-3.2784
726	-0.39	0.2066	0.4804	-6.485
727	-0.27	0.4349	0.68	-7.0743
728	-0.14	0.7763	0.8866	-7.3909
729	0	0.9982	0.9988	-7.4393
730	0.22	0.0637	0.2382	-5.3861
731	0.07	0.5196	0.7396	-7.191
732	0	0.9621	0.9827	-7.4379
733	-0.06	0.5036	0.7279	-7.1714
734	-0.02	0.8591	0.9327	-7.4204
735	-0.05	0.5409	0.7517	-7.2154
736	-0.47	0.0548	0.2174	-5.2373
737	-0.56	0.0582	0.2263	-5.2981
738	-0.02	0.8203	0.9086	-7.4084
739	-0.5	0.1697	0.4323	-6.3116
740	-0.14	0.4965	0.7237	-7.1624
741	0.62	0.0581	0.2262	-5.2963
742	0.71	0.051	0.2103	-5.1676
743	0.32	0.1298	0.3731	-6.0678
744	-0.05	0.5535	0.7589	-7.229
745	0.13	0.5235	0.7415	-7.1956
746	-0.05	0.5748	0.7753	-7.2508
747	-0.39	0.4545	0.6915	-7.1043
748	0.02	0.8167	0.9065	-7.4071
749	0.22	0.047	0.2002	-5.0862
750	-0.44	0.3084	0.5803	-6.8184
751	0	0.9874	0.9943	-7.4391
752	0.5	0.025	0.1362	-4.4435
753	-0.85	0.0293	0.15	-4.6089
754	-0.41	0.1115	0.3381	-5.926
755	-0.75	0.0201	0.1151	-4.2183
756	-0.7	0.0027	0.0322	-2.0869
757	0.05	0.5746	0.7753	-7.2506
758	-0.04	0.677	0.8358	-7.3354
759	-0.03	0.7301	0.8623	-7.368
760	-0.21	0.1931	0.4652	-6.4264
761	-0.29	0.2866	0.5603	-6.7597
762	-0.35	0.1855	0.4566	-6.3908
763	-0.47	0.2733	0.5498	-6.7212
764	-0.46	0.1742	0.4409	-6.3351
765	-1.82	0.0035	0.0378	-2.3878
766	-1.55	0.004	0.0394	-2.3315
767	-0.94	0.0167	0.1016	-4.0306
768	-0.58	0.1187	0.3523	-5.9842
769	-0.34	0.4525	0.69	-7.1014
770	-0.49	0.2046	0.4793	-6.4765
771	0	0.9906	0.9944	-7.4392
772	0.09	0.4036	0.6538	-7.0217
773	0.4	0.1462	0.4023	-6.177
774	0.04	0.6814	0.8376	-7.3383
775	0.05	0.5969	0.7888	-7.2717
776	-0.01	0.9258	0.9663	-7.4341
777	-0.02	0.8451	0.9246	-7.4164
778	0.03	0.7996	0.8995	-7.4007
779	0.01	0.9104	0.9577	-7.4317
780	0.02	0.7745	0.8858	-7.3901
781	0.03	0.7319	0.8638	-7.369
782	-0.68	0.0017	0.0254	-1.6108
783	-0.34	0.1603	0.42	-6.2606
784	0.47	0.079	0.269	-5.5962
785	-1.01	0.0158	0.0976	-3.9684
786	-0.02	0.7803	0.8901	-7.3927
787	-1.04	0.0058	0.0495	-2.9178
788	-1.28	0.0036	0.0378	-1.5296
789	-0.4	0.0788	0.269	-5.5944
790	-1.71	0.0005	0.0123	-0.3071
791	-0.7	0.0101	0.0708	-3.5033
792	0.5	0.0268	0.1416	-4.5146
793	-0.74	0.0686	0.2486	-5.4597
794	0.03	0.7333	0.8638	-7.3697
795	-0.74	0.2297	0.5096	-6.5762
796	-0.57	0.3457	0.6094	-6.9071
797	-0.13	0.4821	0.7151	-7.1435
798	0.01	0.9551	0.9797	-7.4374
799	0.22	0.2991	0.5741	-6.794
800	1.35	0.002	0.0272	-1.7865
801	0.28	0.4034	0.6538	-7.0212
